timestep,RightFingerJoint11z_joint,RightFingerJoint12y_joint,RightFingerJoint13y_joint,RightFingerJoint11y_joint,RightFingerJoint21y_joint,RightFingerJoint22y_joint,RightFingerJoint23y_joint,RightFingerJoint21x_joint,RightFingerJoint31y_joint,RightFingerJoint32y_joint,RightFingerJoint33y_joint,RightFingerJoint41y_joint,RightFingerJoint42y_joint,RightFingerJoint43y_joint,RightFingerJoint41x_joint,RightFingerJoint51y_joint,RightFingerJoint52y_joint,RightFingerJoint53y_joint,RightFingerJoint51x_joint,LeftFingerJoint11z_joint,LeftFingerJoint12y_joint,LeftFingerJoint13y_joint,LeftFingerJoint11y_joint,LeftFingerJoint21y_joint,LeftFingerJoint22y_joint,LeftFingerJoint23y_joint,LeftFingerJoint21x_joint,LeftFingerJoint31y_joint,LeftFingerJoint32y_joint,LeftFingerJoint33y_joint,LeftFingerJoint41y_joint,LeftFingerJoint42y_joint,LeftFingerJoint43y_joint,LeftFingerJoint41x_joint,LeftFingerJoint51y_joint,LeftFingerJoint52y_joint,LeftFingerJoint53y_joint,LeftFingerJoint51x_joint,BLNx_joint,BLNy_joint,BLNz_joint,BPx_joint,BPy_joint,BPz_joint,BTx_joint,BTy_joint,BTz_joint,BUNx_joint,BUNy_joint,BUNz_joint,LAx_joint,LAy_joint,LAz_joint,LEx_joint,LEz_joint,LHx_joint,LHy_joint,LHz_joint,LKx_joint,LSx_joint,LSy_joint,LSz_joint,LWx_joint,LWy_joint,LFx_joint,LMrot_joint,RAx_joint,RAy_joint,RAz_joint,REx_joint,REz_joint,RHx_joint,RHy_joint,RHz_joint,RKx_joint,RSx_joint,RSy_joint,RSz_joint,RWx_joint,RWy_joint,RFx_joint,RMrot_joint,RootPositionX,RootPositionY,RootPositionZ,RootRotationX,RootRotationY,RootRotationZ,Height,Mass,HandLength
2.2600000000000002,1.51245,1.23262,0.369787,-1.84956,0.385825,1.33107,0.39932,0.379534,1.02672,1.61487,0.48446,0.271319,1.48887,1.30181,-0.308521,0.828026,1.52875,0.458626,-0.0952777,1.44537,11.8631,-0.131228,-48.0401,-0.0935738,1.39112,0.417335,-0.202826,-0.0300706,1.61641,0.484923,-0.394808,1.43757,0.0,0.224497,-0.110715,1.31898,0.395693,0.33592,-0.616044,0.0438603,-0.24417,-0.114717,-0.0129131,-0.00353139,-0.127377,-0.0183024,0.0786607,0.222037,-0.0224234,0.0180083,0.144058,-0.144419,-0.290127,1.4089,-0.955528,0.127881,0.0671899,0.604435,-0.211765,0.166105,0.468382,-0.723935,-0.44923,-0.320558,-0.0821967,0.0972312,0.117085,0.202148,0.305187,1.0635,0.704668,0.123384,-0.144275,-0.382375,-0.145953,0.0554135,-0.199976,0.0902815,-0.523471,-0.91816,-0.127678,0.0153449,124.867,242.358,950.061,-0.0484186,-0.00163794,1.4554,1.79,78.0,18.9
2.27,1.51393,1.17278,0.351834,-1.82906,0.377376,1.31952,0.395857,0.390101,0.816276,1.63527,0.490582,0.254093,1.5009,1.25116,-0.323725,0.779791,1.53292,0.459877,-0.0915582,1.44909,11.9076,-0.133852,-48.2339,-0.0935738,1.38796,0.416388,-0.202826,-0.0311844,1.6068,0.482039,-0.394808,1.4432,0.0,0.216284,-0.104327,1.31337,0.394011,0.337251,-0.615581,0.0407302,-0.24411,-0.113585,-0.0128869,-0.00713765,-0.127529,-0.0172477,0.0782501,0.223678,-0.0227063,0.0225261,0.143051,-0.1445,-0.28992,1.40817,-0.951427,0.128336,0.0672482,0.604348,-0.211771,0.161833,0.463562,-0.723122,-0.455745,-0.309657,-0.0851901,0.0991305,0.117869,0.197085,0.302665,1.06633,0.695842,0.122553,-0.143638,-0.3814,-0.145439,0.0553018,-0.199327,0.0930923,-0.523432,-0.915,-0.126067,0.0217226,125.168,242.937,949.973,-0.0483376,-0.00123274,1.45723,1.79,78.0,18.9
2.2800000000000002,1.5081,1.17852,0.353556,-1.81112,0.370336,1.3126,0.393779,0.401989,0.529304,1.67065,0.501194,0.213179,1.52095,1.2142,-0.349066,0.723518,1.55587,0.46676,-0.0906998,1.44424,11.917,-0.136477,-48.2985,-0.096857,1.38165,0.414496,-0.201122,-0.0256157,1.6068,0.482039,-0.396111,1.44179,0.0,0.221759,-0.108586,1.31337,0.394011,0.337916,-0.616781,0.0408122,-0.244508,-0.112364,-0.0127959,-0.00761587,-0.127664,-0.0161575,0.0750916,0.224368,-0.0235386,0.028942,0.14267,-0.143332,-0.289941,1.40636,-0.981195,0.128701,0.0672674,0.602295,-0.211476,0.162682,0.455942,-0.717114,-0.422608,-0.325653,-0.0813625,0.0973624,0.118623,0.19739,0.302267,1.06938,0.680383,0.121887,-0.143229,-0.381834,-0.145118,0.0545192,-0.199201,0.0958791,-0.523449,-0.911967,-0.12751,0.0165069,125.43,243.522,949.928,-0.0483376,-0.000800263,1.45991,1.79,78.0,18.9
2.3000000000000003,1.50817,1.13238,0.339714,-1.806,0.390049,1.28143,0.384428,0.415638,0.0,1.75772,0.527315,0.13566,1.55905,1.27991,-0.410516,0.621689,1.57881,0.473642,-0.0904137,1.44964,11.9356,-0.136477,-48.4276,-0.0886488,1.38481,0.415442,-0.201974,-0.0456628,1.6052,0.481559,-0.397414,1.43898,0.0,0.224497,-0.112844,1.32084,0.396253,0.33459,-0.612225,0.0370009,-0.244614,-0.101165,-0.0117157,-0.0105364,-0.139203,-0.0152589,0.0723007,0.221218,-0.0190602,0.0338752,0.142077,-0.145859,-0.291608,1.40119,-0.954272,0.129973,0.0679759,0.598445,-0.212066,0.156407,0.452006,-0.728728,-0.456898,-0.291761,-0.0784691,0.098713,0.121569,0.198342,0.298585,1.07709,0.660272,0.120997,-0.142613,-0.385438,-0.145056,0.0538194,-0.198385,0.101487,-0.52349,-0.924327,-0.125308,0.0167716,125.893,244.801,949.69,-0.0480693,0.000109777,1.46509,1.79,78.0,18.9
2.31,1.5179,1.14049,0.342146,-1.80344,0.41962,1.26642,0.379926,0.430608,-0.248709,1.80669,0.542008,0.105513,1.5751,1.34151,-0.43459,0.581494,1.58507,0.47552,-0.0904137,1.45106,11.9957,-0.13254,-48.5568,-0.0919321,1.38165,0.414496,-0.205383,-0.0311844,1.61961,0.485884,-0.396111,1.44179,0.0,0.221759,-0.102198,1.32832,0.398495,0.337916,-0.611879,0.03493,-0.244617,-0.0996146,-0.0111163,-0.0128579,-0.139697,-0.0152759,0.0729037,0.221144,-0.0197473,0.0364173,0.141599,-0.144439,-0.292383,1.39861,-0.937543,0.130145,0.06806,0.59673,-0.21253,0.156023,0.44623,-0.73373,-0.483313,-0.281842,-0.077052,0.0994555,0.122091,0.19834,0.29751,1.08235,0.649613,0.120515,-0.142586,-0.386321,-0.145248,0.0515014,-0.198963,0.103871,-0.5235,-0.931533,-0.125978,0.0174795,126.059,245.241,949.556,-0.0478278,0.000473789,1.46688,1.79,78.0,18.9
2.32,1.5275,1.17852,0.353556,-1.81112,0.456231,1.25834,0.377501,0.445138,-0.497418,1.85023,0.555068,0.0818264,1.59515,1.41269,-0.459297,0.533259,1.59132,0.477397,-0.0924165,1.44403,11.802,-0.136477,-47.8464,-0.0919321,1.38954,0.416862,-0.207939,-0.0211608,1.61961,0.485884,-0.392202,1.43898,0.0,0.224497,-0.121361,1.32832,0.398495,0.333925,-0.610587,0.0356673,-0.244497,-0.0994639,-0.0108982,-0.0149886,-0.138581,-0.0140539,0.0717412,0.221984,-0.0247993,0.0383107,0.142721,-0.146983,-0.292753,1.39409,-0.958336,0.131107,0.0684074,0.594842,-0.213363,0.156564,0.438618,-0.729705,-0.458652,-0.280774,-0.0815256,0.0996946,0.123736,0.193175,0.296472,1.08838,0.649783,0.120261,-0.142343,-0.387751,-0.145058,0.0503145,-0.198756,0.106187,-0.523507,-0.937919,-0.123625,0.0177783,126.302,245.633,949.444,-0.0478278,0.000878983,1.46845,1.79,78.0,18.9
2.33,1.54813,1.18096,0.354287,-1.80856,0.482985,1.25949,0.377848,0.464951,-0.714242,1.89376,0.568128,0.0645998,1.6152,1.49482,-0.475135,0.498423,1.60384,0.481151,-0.0932749,1.45148,11.8911,-0.135164,-48.2339,-0.0952154,1.38796,0.416388,-0.205383,-0.0334118,1.61801,0.485404,-0.393505,1.44179,0.0,0.227235,-0.112844,1.33019,0.399056,0.33592,-0.609257,0.0317511,-0.244502,-0.0994442,-0.0101288,-0.0178123,-0.137749,-0.0138324,0.0707034,0.223157,-0.0268116,0.0439954,0.142779,-0.146676,-0.292441,1.39074,-0.949446,0.131182,0.0683102,0.593192,-0.213656,0.153886,0.436317,-0.733418,-0.473183,-0.268325,-0.0780871,0.0980348,0.125096,0.196048,0.295501,1.09539,0.660353,0.119569,-0.142253,-0.387612,-0.144646,0.0484802,-0.199168,0.108923,-0.523518,-0.933342,-0.125849,0.0194711,126.653,246.157,949.319,-0.0473834,0.0014442,1.47044,1.79,78.0,18.9
2.35,1.55507,1.24726,0.374178,-1.83419,0.515372,1.26065,0.378194,0.483003,-0.784391,1.93321,0.579964,0.0732131,1.63224,1.54547,-0.492873,0.460908,1.61843,0.48553,-0.0955639,1.4506,11.8921,-0.140414,-48.2985,-0.0952154,1.38323,0.414969,-0.207939,-0.0456628,1.61481,0.484442,-0.40002,1.44179,0.0,0.235448,-0.117102,1.32645,0.397935,0.339246,-0.607509,0.0242597,-0.244234,-0.0978817,-0.00995315,-0.0237583,-0.136204,-0.0135779,0.0703993,0.217325,-0.0190837,0.0495214,0.14163,-0.145147,-0.291624,1.38388,-0.936608,0.131997,0.0682037,0.58951,-0.215051,0.15167,0.430206,-0.738288,-0.493067,-0.257681,-0.0735589,0.101542,0.127223,0.195126,0.294494,1.11008,0.662168,0.119135,-0.142488,-0.389722,-0.144743,0.0468132,-0.1964,0.113187,-0.523535,-0.929385,-0.126984,0.0188278,127.26,247.231,949.1,-0.0467622,0.00266706,1.47235,1.79,78.0,18.9
2.36,1.56251,1.23112,0.369335,-1.82137,0.543534,1.26411,0.379233,0.499734,-0.784391,1.96587,0.58976,0.0473732,1.65029,1.58654,-0.501742,0.43947,1.64763,0.49429,-0.0967083,1.45068,11.8662,-0.143038,-48.2339,-0.096857,1.38796,0.416388,-0.210496,-0.036753,1.61481,0.484442,-0.403929,1.44179,0.0,0.234079,-0.121361,1.32832,0.398495,0.339246,-0.608488,0.0212162,-0.243837,-0.095887,-0.00991169,-0.0271421,-0.135819,-0.0136938,0.0710442,0.216991,-0.0212144,0.0541907,0.142236,-0.143104,-0.290614,1.379,-0.957519,0.132675,0.0689879,0.587443,-0.215996,0.152556,0.426184,-0.736426,-0.470543,-0.265542,-0.0745691,0.0997113,0.129493,0.194448,0.297064,1.11169,0.675181,0.119034,-0.142064,-0.391425,-0.144656,0.0467056,-0.195012,0.116453,-0.523545,-0.934814,-0.129042,0.0198239,127.411,247.9,949.02,-0.0465377,0.00282629,1.47269,1.79,78.0,18.9
2.37,1.55793,1.25063,0.375189,-1.80087,0.567472,1.27219,0.381657,0.52263,-0.784391,1.97675,0.593025,0.0516798,1.6533,1.60433,-0.508711,0.399275,1.65806,0.497418,-0.0987112,1.45139,11.8838,-0.141726,-48.2985,-0.0952154,1.38323,0.414969,-0.208792,-0.0400942,1.6116,0.483481,-0.401323,1.44461,0.0,0.228604,-0.119231,1.33205,0.399616,0.340576,-0.60584,0.0185976,-0.243712,-0.0952195,-0.00973634,-0.0304937,-0.13524,-0.013729,0.0709401,0.213577,-0.0166534,0.0592412,0.142309,-0.144502,-0.290054,1.37567,-0.940448,0.132931,0.0692435,0.586723,-0.215658,0.151167,0.423295,-0.742697,-0.50479,-0.248619,-0.0747475,0.0998388,0.130222,0.192817,0.295682,1.1275,0.671299,0.118947,-0.141626,-0.391091,-0.14549,0.0431975,-0.194668,0.118116,-0.523547,-0.916253,-0.127302,0.0167422,127.721,248.408,948.891,-0.0464491,0.00310361,1.47421,1.79,78.0,18.9
